GrossAction,GrossAdventure,GrossAnimation,GrossComedy,GrossCrime,GrossDocumentary,GrossDrama,GrossFamily,GrossFantasy,GrossFilm-Noir,GrossHistory,GrossHorror,GrossMusic,GrossMusical,GrossMystery,GrossRomance,GrossSci-Fi,GrossSport,GrossThriller,GrossWar,GrossWestern
28792335.55,,,,,,28792335.55,,,,,,,,,,,28792335.55,28792335.55,,
,116427520.1,,,,,,116427520.1,116427520.1,,,,,,,,,,,,
,,,8332305.181,8332305.181,,,,,,,,,,,,,,,,
,,,,,,24293108.5,,,,,,,,,,,,24293108.5,,
,,,,,,25794212.5,,,,,,,,,,,,,25794212.5,
132213571.2,132213571.2,,,,,,,,,,,,,,,132213571.2,,132213571.2,,
,,,,,,32594176.44,,,,,,,,,32594176.44,,,,,
,,,,,,23335801.27,,,,,,23335801.27,,,,,,,,
,27360617.05,,27360617.05,27360617.05,,27360617.05,27360617.05,,,,,,,,,,,,,
,13332540.92,,13332540.92,,,,13332540.92,,,,,,,,13332540.92,13332540.92,,,,
,86681473.98,86681473.98,86681473.98,,,,86681473.98,,,,,,,,,,86681473.98,,,
44794324.55,,,,,,44794324.55,,,,,,,,,,,44794324.55,,,
82730545.77,82730545.77,,82730545.77,,,,,,,,,,,,,82730545.77,,,,
40776014.18,40776014.18,,40776014.18,,,,,,,,,,,,,,,40776014.18,,
,171539432.5,,,,,,,,,,,,,,,,,,,
7804618.053,,,7804618.053,,,,,,,,,,,7804618.053,7804618.053,,,,,
25453597.71,25453597.71,,,,,,,,,,,,,,,25453597.71,,25453597.71,,
,8892490.346,,,,,,8892490.346,8892490.346,,,,,,,,8892490.346,,,,
,,,5903398.058,,,,,,,,,,5903398.058,,,,,,,
,,,,,,133564.3811,,,,,,,,,,,133564.3811,,,
,,,57025917.41,57025917.41,,57025917.41,,,,,,,,,57025917.41,,,,,
14126933.47,,,,14126933.47,,,,,,,,,,,,,,14126933.47,,
,,,,,,8064532.045,,,,,,,,,,,,,,
19336451.29,19336451.29,,,,,,,19336451.29,,,,,,,,,,,,
,24396202.06,,,,,24396202.06,24396202.06,,,,,,,,,,,,,
,,,,,,57302877.26,,,,57302877.26,,,,,57302877.26,,,,,
56375063.69,,,56375063.69,56375063.69,,56375063.69,,,,,,,,,,,,56375063.69,,
40367515.38,40367515.38,,,,,,,,,,,,,,,,,40367515.38,,
43294313.32,,,43294313.32,,,,,43294313.32,,,,,,,,43294313.32,,,,
22161275.87,,22161275.87,22161275.87,,,,22161275.87,,,,,,,,,22161275.87,,,,
,69209435.73,,,,,69209435.73,,,,,,,,,,,,69209435.73,,
,,,,7568573.822,,7568573.822,,,,,,,,,,,,,,
856109.6797,856109.6797,,,,,856109.6797,,,,,,,,,,,,856109.6797,,856109.6797
,,,,30333426.76,,30333426.76,,,,,,,,30333426.76,,,,30333426.76,,
,,,,,,,,,,,40334498.57,,,,,40334498.57,,40334498.57,,
16632083.42,16632083.42,,,,,,,,,,16632083.42,,,,,16632083.42,,,,
64372333.51,,,,,,,,,,,,,,,,64372333.51,,,,
,,,27386196.29,,,27386196.29,,,,,,,,,,,,,,
,,,,,,920876.761,,,,,,,,,920876.761,,,,920876.761,920876.761
,,,,1237685.236,,1237685.236,,,,,,,,,,,,1237685.236,,
58525038.05,,,58525038.05,,,,,,,,,,,,,58525038.05,,,,
,85630329.99,85630329.99,85630329.99,,,,85630329.99,,,,,,,,,,,,,
,,,2271116.864,,,,,,,,,,,,,,,,,
44762864.31,44762864.31,,44762864.31,,,,,,,,,,,,,,,44762864.31,,
3367186.172,,,,,,3367186.172,,,,,,,,,,3367186.172,,3367186.172,,
12624565.12,,,,12624565.12,,12624565.12,,,,,,,,,,,,12624565.12,,
,,,,,,12631590.02,,,,12631590.02,,,,,,,,,,
62924151.43,62924151.43,,62924151.43,,,,,,,,,,,,,,,62924151.43,,
115412132.3,115412132.3,115412132.3,,,,,115412132.3,115412132.3,,,,,,,,115412132.3,,,,
39338316.73,,,,,,,,39338316.73,,,,,,,,,,,,
,,,,,,42571255.05,,,,,,,,,,42571255.05,,42571255.05,,
51663789.45,,,,51663789.45,,51663789.45,,,,,,,,51663789.45,,,,51663789.45,,
,,,54134567.25,,,54134567.25,,,,,,,,,54134567.25,,,,,
189648730.8,189648730.8,,189648730.8,,,,189648730.8,189648730.8,,,,,,,,189648730.8,,,,
,57435545.29,,,,,57435545.29,,,,57435545.29,,,,,,,,,57435545.29,
3730368.098,3730368.098,,,,,,,,,3730368.098,,,,,,,,,,
115426320.7,115426320.7,,,,,,,115426320.7,,,115426320.7,,,,,,,115426320.7,,
,,,6560494.876,,,,,6560494.876,,,,,,,,6560494.876,,,,
,19522931.63,,,,,,19522931.63,19522931.63,,,,,,,,,,,,
,,69054695.35,69054695.35,,,,69054695.35,,,,,,,,,,69054695.35,,,
10046844.13,,,,,,,,,,,,,,,,,,10046844.13,,
,,,,,,45337206.57,,,,,,,,45337206.57,45337206.57,,,,,
,,,,,,34085189.52,,,,34085189.52,34085189.52,,,,,,,,,
,,,32647102.34,,,32647102.34,,,,,,,,,,,,,,
6538826.645,6538826.645,,,,,,,,,,,,,,,,,6538826.645,,
787238.9569,787238.9569,,,,,,787238.9569,,,,,,,,,,,787238.9569,,
,,,,,,5378296.387,,,,,,,,,5378296.387,,,,,
19580697.63,,,,,,,,19580697.63,,,,,,,,19580697.63,,19580697.63,,
43694821.04,,,,,,,,,,,,,,,,43694821.04,,43694821.04,,
,,,4172882.602,,,,,,,,,,,,4172882.602,,,,,
,,,,,,8396977.545,,,,,,,,8396977.545,,8396977.545,,8396977.545,,
,,,,9823049.644,,,,,,,,,,9823049.644,,,,9823049.644,,
48603529.51,,,48603529.51,,,,48603529.51,48603529.51,,,,,,,,,,,,
205307741.3,205307741.3,,,,,,,,,,,,,,,,,205307741.3,,
34926964.87,34926964.87,,34926964.87,,,,34926964.87,34926964.87,,,,,,,,34926964.87,,,,
1126514.247,1126514.247,1126514.247,1126514.247,,,,,1126514.247,,,,,,,,,,,,
,37661965.52,37661965.52,,,,,37661965.52,,,,,,,,,,,,,
46043623.68,,,,,,46043623.68,,,,,,,,,,,,46043623.68,,
31856878.09,,,,,,31856878.09,,,,,,,,,,31856878.09,,31856878.09,,
,,,,,,19079027.73,,,,19079027.73,,,,,,,,,19079027.73,
22347183.51,,,,22347183.51,,,,22347183.51,,,,,,,,,,22347183.51,,
,,,,,,44536480.12,,,,,44536480.12,,,,,44536480.12,,44536480.12,,
85235921.42,,,85235921.42,,,,,,,,,,,,85235921.42,,,,,
32202660.51,,,,,,,,,,,,,,,,32202660.51,,,,
96287873.3,96287873.3,,,,,,,,,,,,,,,96287873.3,,,,
,578305.5383,578305.5383,578305.5383,,,,,578305.5383,,,,,,,578305.5383,,,,,
66884935.55,66884935.55,,,,,,,,,,,,,66884935.55,,66884935.55,,66884935.55,,
,34756714.45,34756714.45,34756714.45,,,34756714.45,34756714.45,34756714.45,,,,,,,34756714.45,,,,,
,,,4709095.332,,,,,4709095.332,,,,,,,,,,,,
,,,24890668.47,,,,,,,,,,,,24890668.47,24890668.47,,24890668.47,,
,,,9819511.271,9819511.271,,,,,,,,,,,,,,9819511.271,,
,,,,,,82591688.15,,82591688.15,,,,,,,82591688.15,,,,,
,,,18239357.34,,,18239357.34,18239357.34,18239357.34,,,,,,,,,,,,
,109539249.6,109539249.6,,,,,109539249.6,109539249.6,,,,,,,,,,,,
,,,,,,1161026.994,,,,,,,,,,,,,1161026.994,
6317798.442,,,,,,,,6317798.442,,,,,,,,,,,,6317798.442
61077125.88,,,,,,,,,,,,,,,,,,61077125.88,,
9772468.977,9772468.977,,,,,,,9772468.977,,,,,,,,,,,,
,,,,,,35059517.53,,,,,,35059517.53,,,35059517.53,,,,35059517.53,
,,,12272338.12,,,12272338.12,,,,,,,,,12272338.12,,,,,
,,5398952.098,5398952.098,,,,5398952.098,5398952.098,,,,,5398952.098,,,,,,,
,15966641.17,,,,,15966641.17,,,,,,,,,,,,,,
26819134.62,26819134.62,,26819134.62,,,,,26819134.62,,,,,,,,,,,,
,,,,,,7572786.675,,,,,,,,,7572786.675,,7572786.675,,,
60211186.29,,,,60211186.29,,,,,,,,,,,,60211186.29,,60211186.29,,
11576884.91,,,,,,,,11576884.91,,,,,,,,,,11576884.91,,
,,,,,,4233677.691,,,,,,,,,,,,,,
,,,,,,20301621.22,,20301621.22,,,,,,,20301621.22,,,,,
86635673.45,86635673.45,,,,,,,,,,,,,,,,,,,86635673.45
8943545.082,,,,8943545.082,,8943545.082,,,,,,,,,,,,8943545.082,8943545.082,
48618351.81,48618351.81,,,,,,,,,,,,,48618351.81,,48618351.81,,48618351.81,,
36162939.35,36162939.35,,36162939.35,,,,,,,,,,,,36162939.35,36162939.35,,,,
,,,,,,43354779.97,,43354779.97,,,,,,,,,43354779.97,,,
72357737.85,,,,,,,,,,,72357737.85,,,,,72357737.85,,,,
,85980974.8,,,,,,,,,,,,,,,85980974.8,,85980974.8,,
,,,53768346.12,,,,53768346.12,,,,,,,,,53768346.12,,,,
,,,,,,,,,,,4146736.031,,,,,4146736.031,,4146736.031,,
,48494785.28,,,,,,48494785.28,48494785.28,,,,48494785.28,48494785.28,,,,,,,
,,,,48285937.02,,48285937.02,,,,,,,,48285937.02,,,,48285937.02,,
11755463.05,,,,,,11755463.05,,11755463.05,,,,,,,,,,11755463.05,,11755463.05
,128843992,128843992,128843992,,,128843992,128843992,,,,,,,,,,,,,
,,,,,,40649981.39,,40649981.39,,,,,,40649981.39,40649981.39,,,40649981.39,,
,5852163.276,,,,,5852163.276,,,,,,,,,5852163.276,,,,5852163.276,
10603971.4,10603971.4,,,,,,,10603971.4,,,,,,,,10603971.4,,10603971.4,,
49152086.58,,,,49152086.58,,49152086.58,,,,,,,,,,,,49152086.58,,
,,,,25905574.27,,25905574.27,,,,,,,,,,,,25905574.27,,
,5351375.138,,,,,,,,,,5351375.138,,,,,,,5351375.138,,
,,,12761249.4,,,,,,,,,,,,,,,,,
10127221.49,,,,,,,,,,,,,,10127221.49,,,,10127221.49,,
23847085.82,,,,23847085.82,,,,,,,,,,,,,,23847085.82,,
8790104.228,8790104.228,,8790104.228,8790104.228,,,,,,,,,,,,,,,,
34909168.59,34909168.59,,,,,,,,,,34909168.59,,,,,34909168.59,,,,
,,,6754044.232,,,,6754044.232,6754044.232,,,,,,,,,,,,
,,,,,,32402140.25,,,,,,,,,,,,,,
,,,76578406.7,,,,,,,,,,,,,76578406.7,,76578406.7,,
23004854.73,23004854.73,,,23004854.73,,,,,,,,,,,,,,23004854.73,,
74202066.4,,,,74202066.4,,,,,,,,,,,,,,74202066.4,,
,,,6272284.631,,,,,,,,,,,,,,,,,
,,,,17858880.11,,,,,,,17858880.11,,,,,,,17858880.11,,
,,,,,,19528414.1,,,,,,,,,,,,,,
,,,58143094.38,,,58143094.38,,,,,,,,,,,,,,
