Year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
2008,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
2003,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2009,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1998,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1981,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
